1584
"Runtime: 2 hours, 19 minutes and 28 seconds"
Iterations: 50
Average moves: 21161.22
Least moves: 1584
"Moves: [33274, 5907, 1584, 42594, 23050, 19285, 24604, 9096, 27897, 8007, 26211, 16306, 14896, 34256, 12758, 11351, 12344, 39927, 43007, 71159, 27184, 15117, 13060, 6711, 19923, 23156, 9384, 49055, 22594, 19382, 11818, 22232, 20392, 7082, 3388, 10892, 40633, 14398, 32314, 28064, 22015, 3220, 17601, 11019, 19490, 5783, 44718, 16853, 17234, 25836]"
car,move
AJ,-1
AH,1
AP,-1
AA,-1
J,1
J,1
J,2
AB,-1
AC,-3
AE,-1
AC,2
H,1
AL,-1
AC,-1
AE,1
J,1
AC,1
G,-1
AE,-1
AF,-1
AC,-2
J,-3
AP,-3
P,1
AG,1
J,2
AF,1
AK,-1
AA,-1
J,-1
AF,-1
AG,-1
AH,1
AJ,1
F,1
AQ,-1
AP,1
AB,1
AK,-1
AH,-1
AQ,-1
AE,1
AA,1
AE,1
AD,1
P,-1
AJ,1
F,-1
AD,1
J,-3
AJ,-2
AP,2
J,1
P,2
AD,-2
N,-1
AJ,1
AK,-1
AQ,-1
AQ,1
AQ,2
AL,1
P,-1
M,1
H,-1
AK,3
AL,-1
J,-1
AK,-3
L,1
AK,-1
AE,-1
AQ,-1
AE,1
K,1
AE,-2
M,-1
K,-1
AG,-2
K,1
AQ,-3
AP,-3
AA,-2
AP,3
AP,1
AP,-1
N,1
AP,-2
AQ,1
F,1
AG,1
AE,1
AA,1
AH,1
K,-1
AQ,2
AK,1
AP,3
K,1
AP,-3
AI,-3
AQ,1
AB,-1
AP,3
E,1
AC,1
AA,1
AC,1
AK,1
P,1
Q,-1
K,-1
AG,1
P,-1
AQ,-2
AQ,1
AG,2
L,-1
P,-1
AE,3
Q,1
W,1
W,2
AC,-1
AQ,1
Q,-1
AC,1
AJ,-1
J,3
P,1
AD,3
AD,-1
V,1
AD,2
J,-1
P,-1
AJ,1
AJ,-1
AD,-1
AD,1
AD,-1
J,-2
AA,1
AE,-1
AK,-2
AQ,-1
H,1
J,1
AQ,1
AQ,-1
AK,2
AC,-1
J,1
AA,-1
AC,1
Q,1
AC,-2
AD,-2
J,-1
AD,-1
AB,1
S,1
Q,1
AK,-1
H,-1
C,2
AK,-1
J,-1
AO,-1
AK,-1
AE,-1
H,1
AE,-1
AN,-1
AM,4
AK,2
AM,-4
AB,-1
AG,-1
AG,1
AG,-1
C,-2
C,1
Q,1
C,2
AC,2
AK,1
AK,1
AN,1
AC,-2
P,2
E,-1
E,1
P,-1
E,-1
AO,1
AA,-1
AG,-2
L,1
AC,2
AC,-2
AO,-3
AP,-1
AO,2
AG,1
AA,1
P,-1
K,1
AN,-1
AM,2
AM,2
AM,1
H,-1
AP,-1
AC,1
AN,1
H,1
AC,-1
AD,1
F,-1
AM,1
AB,1
AP,-1
N,-1
Q,1
AP,-1
M,1
C,1
AG,-1
K,-1
W,1
AO,-1
AI,1
AP,2
L,-1
Q,1
AB,-1
C,1
AM,-2
AK,-3
AM,2
AK,3
AI,2
AP,-1
M,-1
AK,-4
AP,-2
C,-2
AM,-2
AQ,1
C,2
AI,-2
H,-1
C,-1
AK,4
J,3
Q,1
AC,2
C,2
AO,1
AQ,-1
AK,-1
N,1
J,-1
AQ,-1
AQ,1
J,-2
AC,-2
AI,1
J,3
AM,2
AQ,-1
L,1
F,1
AO,-1
AC,1
C,-3
AP,4
C,1
AI,-1
AP,-4
C,-1
AP,2
C,3
C,-1
Q,-1
AP,1
L,-1
J,-2
AQ,1
J,-1
AM,-1
AK,-1
L,1
AO,1
AQ,-1
K,1
AP,-1
AQ,2
AQ,-2
AI,1
AP,-2
AC,1
AA,1
E,1
AC,1
K,-1
AC,-1
AK,1
H,1
AK,-1
C,-3
AQ,1
AK,1
AG,3
C,2
AE,1
AM,1
S,-1
C,-4
H,-1
AM,-1
AG,-2
AG,1
AM,-1
AE,-1
AQ,-1
AA,1
AA,-2
AC,-2
AI,-1
C,1
AP,1
C,3
L,-1
S,1
AI,2
AB,1
H,1
AK,-2
C,-3
AM,2
AG,-2
Q,1
AP,3
AP,-3
Q,-2
