1136
"Runtime: 0 hours, 14 minutes and 31 seconds"
Iterations: 100
Average moves: 17928.12
Least moves: 1136
"Moves: [2760, 3132, 21665, 8625, 11547, 14194, 7252, 12322, 8898, 15024, 14196, 13808, 54071, 10671, 7812, 11859, 30004, 3258, 8091, 83766, 15082, 7079, 44786, 6993, 11281, 6782, 29520, 22977, 15446, 50688, 25872, 16550, 3638, 2544, 4954, 11674, 5110, 5888, 17442, 7987, 15822, 42507, 2610, 26788, 24880, 2677, 8501, 6040, 48511, 12465, 5730, 10399, 12127, 2912, 16607, 60016, 7506, 19637, 14960, 6368, 18520, 4743, 18149, 15692, 21173, 57538, 14859, 1136, 20253, 7499, 41499, 22552, 9153, 10006, 24767, 31924, 11810, 13560, 32320, 20667, 2727, 46298, 3410, 5054, 85983, 6277, 3382, 18544, 36862, 3568, 14168, 7417, 38744, 2514, 47626, 5171, 34392, 17996, 7300, 5248]"
car,move
B,1
B,-1
F,-2
B,1
A,-2
E,-1
F,-1
F,-1
B,2
F,1
F,1
X,-2
X,1
F,-1
A,-1
A,1
F,-1
X,-1
G,-3
G,3
G,-1
G,-2
G,2
A,1
A,1
F,1
F,-1
A,-2
F,1
G,1
G,-3
G,1
H,-1
G,1
A,1
G,-1
A,-1
G,-1
A,-1
D,-1
A,1
A,-1
F,1
C,3
C,-1
A,1
F,-1
C,-1
C,-1
A,-1
D,1
F,1
D,-1
H,1
F,-1
H,-1
D,1
G,2
A,3
G,-1
A,-3
H,1
G,1
G,-1
F,1
G,-1
G,2
A,3
G,1
A,-1
X,1
A,-1
F,-1
F,-1
F,1
X,1
B,-2
F,1
E,1
A,2
F,1
A,-1
F,-2
F,1
F,-1
F,3
F,-4
E,-1
F,1
A,-1
A,1
E,1
E,-1
E,1
A,1
F,2
A,-2
A,-1
A,3
F,-2
F,2
A,-3
F,-1
F,1
A,2
F,-2
F,3
F,-1
F,-2
A,-2
A,1
F,1
E,-1
A,-1
A,1
A,-1
B,1
B,-1
E,1
A,3
A,-2
A,1
A,-2
A,3
A,-2
F,2
A,1
F,-3
E,-1
