546
"Runtime: 0 hours, 0 minutes and 1 seconds"
Runs: 1
Average moves: 546.0
Least moves: 546
Moves: [546]
car,move
E,1
I,1
G,-1
K,-1
I,-1
E,-1
E,1
I,1
I,-1
E,-1
E,1
E,-1
E,1
E,-1
E,1
I,1
I,-1
E,-1
E,1
E,-1
E,1
I,1
I,-1
I,1
I,-1
E,-1
E,1
E,-1
E,1
I,1
I,-1
E,-1
E,1
E,-1
E,1
I,1
I,-1
E,-1
E,1
I,1
I,-1
E,-1
E,1
E,-1
E,1
E,-1
E,1
I,1
I,-1
I,1
I,-1
I,1
I,-1
E,-1
E,1
E,-1
E,1
I,1
I,-1
E,-1
E,1
E,-1
E,1
I,1
I,-1
E,-1
E,1
E,-1
E,1
I,1
I,-1
E,-1
E,1
I,1
I,-1
I,1
I,-1
E,-1
E,1
E,-1
E,1
I,1
I,-1
E,-1
E,1
E,-1
E,1
I,1
I,-1
E,-1
E,1
E,-1
E,1
E,-1
E,1
E,-1
E,1
E,-1
E,1
E,-1
E,1
I,1
I,-1
I,1
I,-1
I,1
I,-1
E,-1
E,1
E,-1
E,1
I,1
I,-1
I,1
I,-1
I,1
I,-1
E,-1
E,1
I,1
I,-1
I,1
I,-1
I,1
I,-1
E,-1
E,1
I,1
I,-1
E,-1
E,1
E,-1
E,1
I,1
I,-1
E,-1
E,1
I,1
I,-1
I,1
I,-1
E,-1
E,1
E,-1
E,1
I,1
I,-1
I,1
I,-1
I,1
I,-1
I,1
I,-1
I,1
I,-1
I,1
I,-1
I,1
I,-1
I,1
I,-1
E,-1
E,1
E,-1
E,1
I,1
I,-1
E,-1
E,1
I,1
I,-1
E,-1
E,1
E,-1
E,1
E,-1
E,1
I,1
I,-1
I,1
I,-1
E,-1
E,1
I,1
I,-1
E,-1
E,1
I,1
I,-1
I,1
I,-1
I,1
I,-1
I,1
I,-1
E,-1
E,1
E,-1
E,1
E,-1
E,1
I,1
I,-1
I,1
I,-1
E,-1
E,1
E,-1
E,1
I,1
I,-1
E,-1
E,1
I,1
I,-1
E,-1
E,1
I,1
I,-1
I,1
I,-1
I,1
I,-1
I,1
I,-1
I,1
I,-1
E,-1
E,1
E,-1
E,1
I,1
I,-1
I,1
I,-1
I,1
I,-1
E,-1
E,1
E,-1
E,1
E,-1
E,1
E,-1
E,1
E,-1
E,1
I,1
I,-1
I,1
I,-1
I,1
I,-1
I,1
I,-1
E,-1
E,1
E,-1
E,1
E,-1
E,1
E,-1
E,1
E,-1
E,1
I,1
I,-1
E,-1
E,1
E,-1
E,1
E,-1
E,1
I,1
I,-1
I,1
I,-1
I,1
I,-1
I,1
I,-1
I,1
I,-1
E,-1
E,1
E,-1
E,1
I,1
I,-1
I,1
I,-1
I,1
I,-1
I,1
I,-1
E,-1
E,1
E,-1
E,1
I,1
I,-1
E,-1
E,1
I,1
I,-1
I,1
I,-1
I,1
I,-1
E,-1
E,1
I,1
I,-1
E,-1
E,1
I,1
I,-1
E,-1
E,1
E,-1
E,1
I,1
I,-1
E,-1
E,1
E,-1
E,1
E,-1
E,1
I,1
I,-1
E,-1
E,1
E,-1
E,1
I,1
I,-1
I,1
I,-1
E,-1
E,1
E,-1
E,1
E,-1
E,1
I,1
I,-1
E,-1
E,1
E,-1
E,1
I,1
I,-1
I,1
I,-1
I,1
I,-1
E,-1
E,1
E,-1
E,1
E,-1
E,1
E,-1
E,1
E,-1
E,1
E,-1
E,1
I,1
I,-1
E,-1
E,1
E,-1
E,1
E,-1
E,1
I,1
I,-1
E,-1
E,1
E,-1
E,1
I,1
I,-1
I,1
I,-1
I,1
I,-1
I,1
I,-1
I,1
I,-1
I,1
I,-1
E,-1
E,1
E,-1
E,1
E,-1
E,1
E,-1
E,1
E,-1
E,1
I,1
I,-1
I,1
I,-1
I,1
I,-1
E,-1
E,1
E,-1
E,1
I,1
I,-1
E,-1
E,1
E,-1
E,1
I,1
I,-1
E,-1
E,1
E,-1
E,1
E,-1
E,1
E,-1
E,1
I,1
I,-1
I,1
I,-1
I,1
I,-1
I,1
I,-1
E,-1
E,1
I,1
I,-1
E,-1
E,1
I,1
I,-1
I,1
I,-1
E,-1
E,1
I,1
I,-1
E,-1
E,1
I,1
I,-1
E,-1
E,1
E,-1
E,1
E,-1
E,1
E,-1
E,1
I,1
I,-1
E,-1
E,1
I,1
I,-1
I,1
I,-1
I,1
I,-1
I,1
I,-1
E,-1
E,1
E,-1
E,1
I,1
I,-1
E,-1
E,1
I,1
I,-1
E,-1
E,1
I,1
I,-1
E,-1
E,1
E,-1
E,1
I,1
I,-1
I,1
I,-1
I,1
I,-1
E,-1
E,1
I,1
I,-1
I,1
I,-1
I,1
I,-1
E,-1
E,1
E,-1
E,1
E,-1
E,1
E,-1
E,1
E,-1
E,1
E,-1
E,1
E,-1
E,1
E,-1
E,1
I,1
I,-1
I,1
I,-1
I,1
I,-1
E,-1
E,1
I,1
I,-1
E,-1
E,1
I,1
I,-1
E,-1
E,1
I,1
I,-1
E,-1
E,1
I,1
