1380
"Runtime: 0 hours, 44 minutes and 23 seconds"
Iterations: 100
Average moves: 11078.55
Least moves: 1380
"Moves: [4359, 15373, 9684, 1812, 6691, 3039, 6129, 5067, 19469, 11963, 9152, 2750, 12700, 7509, 2924, 10630, 7589, 2698, 3802, 5321, 3619, 9677, 4904, 13261, 11453, 28066, 6615, 10452, 5135, 15258, 13088, 10489, 1564, 22938, 7549, 11273, 7185, 24648, 5383, 33262, 5184, 4148, 4464, 14891, 9761, 3924, 1380, 12577, 4654, 15143, 7394, 29660, 10728, 8881, 4829, 28324, 2877, 11041, 14046, 10690, 13948, 7832, 14440, 3231, 16701, 2518, 20989, 15088, 30834, 1698, 7218, 6949, 11056, 13928, 4873, 6226, 6227, 19725, 18110, 3376, 36142, 14810, 6539, 7015, 7236, 5770, 4734, 11728, 3447, 19823, 13225, 3525, 10941, 22055, 14768, 18827, 16224, 37279, 8398, 21326]"
car,move
E,1
M,2
S,-2
E,-1
S,-2
R,1
S,-1
A,1
S,2
E,1
A,-1
G,-1
B,2
S,1
S,1
S,-1
S,1
S,-1
A,-1
S,1
K,-1
F,-1
E,1
G,1
E,-1
E,2
B,-1
M,-1
E,-3
J,-1
K,1
S,-2
R,-1
S,1
S,2
M,-1
K,-1
E,1
K,1
E,-1
K,-1
O,-1
G,-1
O,1
J,1
E,1
M,2
E,-1
M,-2
E,1
M,1
E,1
E,-2
E,2
M,1
B,1
S,-1
T,-1
M,-1
U,-1
B,-1
M,1
M,-1
B,1
P,1
E,-1
M,1
F,1
F,-1
H,1
J,-1
H,-1
B,-1
M,-1
O,-1
G,1
E,-1
O,1
K,2
M,1
K,-2
K,-1
K,3
E,1
K,-1
G,-1
O,-1
P,-1
O,1
G,1
G,-1
B,1
K,-1
K,1
M,-1
U,1
J,1
E,1
E,-1
G,-1
S,-2
M,-1
M,1
S,2
K,-1
T,1
B,-1
E,-1
G,1
G,1
R,1
K,1
R,-1
S,-2
M,1
G,-2
G,2
M,-2
T,-1
F,1
S,-2
K,-1
K,1
M,1
S,3
E,1
M,1
A,2
S,-1
S,2
S,-3
B,1
S,1
A,-1
B,-1
U,-1
S,-1
S,2
S,-3
I,-1
S,4
A,1
M,-1
G,-1
I,1
I,-1
G,1
S,-1
S,-1
A,-2
S,-1
A,1
K,-1
S,-1
M,1
B,-1
S,-1
P,1
K,1
M,-1
S,1
S,-2
B,1
S,4
M,-1
S,-4
B,-1
S,1
S,-1
P,-1
M,2
S,3
U,1
A,1
S,1
B,1
A,-2
S,-1
K,-1
F,-1
F,1
S,-3
