309
"Runtime: 0 hours, 6 minutes and 19 seconds"
Iterations: 100
Average moves: 5634.75
Least moves: 309
"Moves: [19261, 25842, 9213, 3345, 4283, 1767, 16307, 6090, 6532, 366, 3709, 2981, 18321, 2923, 5770, 6634, 3285, 3830, 2406, 10451, 8694, 8151, 3195, 900, 3338, 5706, 4586, 943, 2011, 15730, 309, 3008, 7316, 526, 5308, 899, 621, 16191, 1542, 4311, 6343, 1860, 1906, 4816, 1899, 11048, 468, 2403, 5834, 7047, 637, 6354, 1487, 5054, 1163, 6908, 2634, 6061, 5626, 11026, 3260, 1918, 14819, 665, 5472, 3115, 3306, 2431, 1860, 5081, 2673, 2256, 5716, 4638, 5047, 3309, 3423, 2220, 3436, 5943, 2077, 9227, 12058, 2075, 11512, 8509, 6432, 3956, 5994, 2807, 3978, 9290, 7409, 5116, 4507, 1200, 10166, 3873, 18057, 17469]"
car,move
A,-1
B,-1
B,1
C,-1
G,-1
H,-1
H,1
A,1
G,1
A,-1
B,-1
B,1
G,-2
L,-1
J,-1
I,1
G,1
G,-1
G,1
I,-1
G,-1
I,1
L,1
I,-1
I,2
H,1
E,1
D,-1
L,-2
L,1
D,1
L,-1
J,-1
D,-1
D,1
E,-1
J,-1
H,-1
J,1
I,-1
I,1
J,1
H,1
H,-1
J,-2
J,1
I,-2
I,2
J,-1
J,1
J,-1
J,2
H,1
L,2
F,2
X,1
K,-1
K,-1
K,1
K,-1
K,2
F,-2
H,-1
X,-1
H,-1
X,1
H,2
E,1
D,-1
D,1
E,-1
L,-1
E,1
X,-1
L,1
D,-1
X,1
F,1
F,-1
L,-1
L,1
D,1
L,-1
D,-1
L,1
X,-1
F,1
D,1
F,-1
E,-1
E,1
L,-1
L,-1
E,-1
E,1
E,-1
J,-1
J,1
J,-1
J,1
J,-1
E,1
D,-1
J,-1
E,2
E,-1
D,1
E,1
E,-2
J,1
J,-1
E,2
E,-3
E,3
H,-1
D,-1
I,-2
I,-1
I,3
I,-3
I,2
I,-1
I,1
D,1
D,-1
I,1
I,-2
D,1
I,1
D,-1
I,1
I,-1
I,-2
I,3
I,-3
H,1
E,-2
J,1
J,2
E,1
L,1
L,1
X,1
X,-1
L,-2
L,1
L,-1
L,1
X,1
X,2
X,-1
E,1
X,1
L,-1
E,-1
L,1
X,-2
L,1
X,1
F,1
K,-1
X,-2
X,2
E,1
H,-1
X,-2
G,1
G,-1
H,1
G,1
A,1
A,-1
H,-1
K,1
B,-1
K,-1
I,-1
I,1
I,1
K,1
I,-2
H,1
I,1
K,-1
F,1
I,-1
K,1
F,-2
F,1
H,-1
H,1
E,-1
I,1
B,1
E,-1
B,-1
B,1
E,2
E,-1
K,-1
K,1
A,1
E,1
H,-1
I,1
I,-1
A,-1
F,-1
H,-1
G,-1
X,3
I,1
X,-2
I,-1
H,1
F,1
F,-1
H,-1
I,1
I,-1
X,1
X,1
X,-3
X,2
H,2
H,-1
I,1
I,-1
F,1
H,1
H,-1
H,1
K,-1
X,1
E,-1
X,-2
E,-1
E,1
X,1
X,-2
E,1
E,-1
X,2
X,-1
X,1
K,1
K,-2
K,2
K,-2
K,1
X,-2
X,1
K,1
X,2
X,-3
F,-1
X,3
L,-2
L,1
E,1
X,-2
X,1
H,-1
H,1
X,1
L,-1
L,1
H,-1
X,-2
H,1
E,-1
E,1
X,1
L,1
X,-1
L,-1
X,2
E,-1
E,1
E,-1
G,1
E,1
E,-1
B,-1
I,-1
I,1
E,1
L,1
F,2
F,-2
F,2
K,-2
K,2
K,-1
B,1
B,-1
K,1
K,-2
K,1
F,-1
H,-1
I,1
K,1
F,-1
I,-1
I,-1
H,1
L,-1
X,1
